Jurisdiction of Occurrence,Year,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome, and Nephrosis","Symptoms, Signs, and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose
United States,2014,1,243298,226621,3944,51101,7344,8305,7929,15078,3466,4600,2815,58229,12074,11461,2572,3320,1213,4026
United States,2015,1,265355,247269,4194,52346,8053,11638,10005,16769,3797,4979,3005,63190,13576,12311,2754,3618,1437,4354
United States,2016,1,245823,227341,3846,51863,7392,10612,5295,14331,3705,4645,2755,58049,12968,12559,2734,3720,1499,4631
United States,2017,1,262832,241918,4089,52120,7907,12018,6925,16574,4083,4818,2769,61650,13595,14520,3034,3709,1726,6233
United States,2018,1,286744,265418,4502,52876,8674,13410,12164,18271,4603,5346,3138,67024,14653,14748,3010,3966,1674,5659
United States,2019,1,257649,237219,3580,52087,8218,10961,5720,15330,4116,4740,2738,60675,13447,13988,2948,3833,1574,5519
United States,2014,2,211980,197001,3214,45558,6443,7315,5561,12747,2873,4064,2532,50435,10780,10286,2248,3091,1050,3895
United States,2015,2,227047,211028,3559,46226,6809,9477,6402,14196,3245,4344,2578,54374,11679,11040,2350,3215,1124,4087
United States,2016,2,230021,212140,3459,48258,6851,9729,5162,13986,3266,4307,2553,54652,11823,12442,2820,3445,1266,5022
United States,2017,2,233819,215160,3511,46531,7013,10309,6657,14934,3581,4317,2595,54944,11975,12994,2748,3381,1428,5619
United States,2018,2,236998,218466,3660,46447,7028,10623,8554,14579,3879,4398,2560,54673,12176,12686,2734,3596,1376,5244
United States,2019,2,232821,214074,3257,46739,7485,10098,5551,13890,3641,4270,2451,54835,12125,12892,2535,3561,1356,5180
United States,2014,3,228477,212045,3451,50646,6738,7999,5148,13493,3260,4300,2632,54347,11395,11120,2589,3408,1261,4106
United States,2015,3,242712,224708,3723,51192,7106,9790,5601,15185,3668,4597,2674,57615,12546,12028,2764,3935,1365,4583
United States,2016,3,244283,224696,3773,51566,7108,10076,6208,15417,3668,4652,2655,57206,12431,13382,3105,3921,1476,5511
United States,2017,3,251732,231028,3796,50785,7588,11179,6490,15832,3885,4628,2859,58476,12969,14392,3164,3870,1467,6164
United States,2018,3,248805,228464,3673,50689,7415,10815,6133,14995,3990,4534,2665,58301,12927,13926,3015,4011,1449,5793
United States,2019,3,254929,234074,3559,51450,7886,10809,6292,15149,4126,4649,2718,59728,13433,14220,2956,4161,1467,5887
United States,2014,4,215600,199454,3125,48304,6343,7117,4512,12573,3179,3902,2549,50954,10773,10608,2720,3606,1277,3733
United States,2015,4,224423,207336,3342,48745,6568,8859,4878,13982,3306,4247,2551,52961,11343,11419,2830,3726,1297,4281
United States,2016,4,227191,208249,3480,48574,6522,9479,5068,13634,3277,4124,2634,52973,11671,12832,3152,3812,1525,5259
United States,2017,4,231830,211542,3484,49056,6701,9932,4799,13916,3680,4281,2633,53081,12047,13839,3238,3972,1530,5886
United States,2018,4,233164,213483,3278,48786,7032,9902,4633,13857,3688,4219,2552,54235,12312,13275,2979,3920,1572,5555
United States,2019,4,235254,215336,3254,48493,7360,9824,4603,13785,3698,4286,2557,54920,12443,13481,3079,4029,1444,5562
United States,2014,5,216862,199843,3105,49497,6272,7266,4099,12281,3101,3980,2584,50810,10963,11360,3038,3589,1398,3925
United States,2015,5,223600,205087,3204,50072,6479,8674,4109,13376,3109,4046,2489,52243,11445,12324,3339,3966,1531,4462
United States,2016,5,224528,205011,3257,49589,6626,9274,4053,12809,3232,4082,2631,51910,11637,13225,3481,3853,1649,5158
United States,2017,5,229670,208638,3242,49814,6713,9498,3877,13410,3344,4235,2566,52924,11978,14137,3416,4257,1688,6036
United States,2018,5,228772,208108,3092,49582,6805,9333,3588,13218,3606,4081,2508,53298,11812,14025,3443,4190,1559,5773
United States,2019,5,236893,215726,3089,50627,7202,9722,3742,13428,3629,4237,2575,54985,12232,14475,3417,4052,1662,5829
United States,2014,6,204687,187644,2947,48103,5802,6755,3658,11207,2782,3631,2518,47144,9973,11446,3084,3552,1376,3783
United States,2015,6,211175,193014,3019,48055,6076,8109,3679,11946,2983,3881,2489,48672,10897,12176,3222,3785,1546,4176
United States,2016,6,213051,193541,2993,47587,6051,8687,3391,11703,3058,3927,2545,49210,10980,13289,3542,3726,1657,5128
United States,2017,6,218929,198032,3060,48436,6349,8943,3482,12161,3146,3777,2559,50117,11126,14267,3492,4081,1670,5884
United States,2018,6,220103,198902,2933,48344,6481,8906,3252,12206,3327,3904,2521,50456,11445,14200,3514,4378,1674,5817
United States,2019,6,225422,204218,2886,48621,6867,9351,3300,12335,3427,4054,2513,51680,11556,14518,3449,4050,1673,5807
United States,2014,7,209373,192035,3112,49259,5983,6990,3535,11161,2690,3690,2449,47991,10449,11743,3227,3534,1382,3902
United States,2015,7,216951,197673,3151,50112,6251,8361,3476,11473,2906,3935,2529,50265,11218,12941,3530,3944,1676,4497
United States,2016,7,219691,198767,3222,49792,6221,9038,3412,11681,3051,3845,2726,49709,11036,14245,3582,4033,1804,5592
United States,2017,7,221869,200090,3014,50439,6472,9027,3363,11535,3136,3735,2496,50217,11362,14863,3730,4179,1803,5938
United States,2018,7,225111,203310,3178,49870,6612,9082,3153,11720,3438,3947,2626,51396,11656,14813,3552,4356,1755,5940
United States,2019,7,229211,207062,3015,50055,6880,9418,3068,11941,3369,4097,2622,52335,11870,15292,3527,4193,1729,6162
United States,2014,8,208013,190204,2931,49519,5930,6986,3312,10722,2778,3778,2465,47109,10369,11688,3277,4027,1467,3987
United States,2015,8,214404,195312,3236,50196,6173,8346,3439,10768,2877,3797,2464,48945,10964,12803,3642,3912,1650,4492
United States,2016,8,219911,199453,3134,50593,6282,8991,3298,11464,2907,3929,2811,49701,11290,13827,3600,4042,1804,5397
United States,2017,8,221887,200838,3071,50351,6390,9298,3189,11260,3166,3874,2551,49894,11687,14242,3409,4275,1651,5863
United States,2018,8,224254,203330,3134,50582,6598,9277,3011,11339,3210,4083,2668,50652,11640,14116,3490,4300,1607,5836
United States,2019,8,227280,205220,2893,50508,6658,9420,3035,11399,3334,3929,2668,51346,11816,15171,3645,4181,1639,6194
United States,2014,9,205274,188322,2918,48331,5810,7238,3352,10426,2696,3823,2586,46909,10513,11022,3069,4034,1307,3748
United States,2015,9,209905,191754,3123,48835,6012,8419,3378,10729,2844,3781,2518,47849,10826,12293,3372,3578,1610,4481
United States,2016,9,214310,194685,3138,48688,6175,9077,3307,11107,2936,3723,2674,48258,11057,13495,3612,3720,1675,5195
United States,2017,9,220262,199625,3173,48987,6558,9363,3313,11313,3167,3922,2734,49742,11426,14169,3572,4024,1595,5786
United States,2018,9,218696,198209,3092,49018,6458,9250,3082,11061,3238,3885,2535,49112,11296,13900,3579,4136,1613,5500
United States,2019,9,222715,201663,2952,48945,6585,9330,2882,11247,3346,3882,2591,50100,11752,14341,3543,4109,1647,5882
United States,2014,10,218147,200741,3203,50900,6183,8319,3804,11412,2903,3881,2703,50401,11321,11579,3304,3791,1423,4021
United States,2015,10,223535,204815,3390,50889,6566,9368,3883,11675,3057,3927,2733,51290,11792,12845,3550,3688,1486,4546
United States,2016,10,228919,208592,3287,50815,6669,9875,3622,12009,3277,4212,2967,52414,11766,14051,3834,3838,1678,5446
United States,2017,10,231125,210453,3275,51132,6829,10080,3614,12095,3311,4053,2817,52495,12177,14012,3629,4072,1725,5538
United States,2018,10,233903,213240,3359,51631,7028,10080,3447,12073,3510,4047,2775,53232,12355,14114,3657,4127,1512,5522
United States,2019,10,237661,216275,3186,51501,7082,10423,3294,11970,3640,4316,2817,53795,12693,14822,3506,4043,1610,6133
United States,2014,11,221317,204268,3192,49377,6477,9069,3875,11759,2977,3954,3000,52027,11863,11644,3175,3480,1307,3927
United States,2015,11,219788,202283,3315,48800,6582,9408,3763,11749,3141,4060,2801,51218,11777,12002,3159,3357,1503,4199
United States,2016,11,227313,207691,3310,49285,6715,9988,3740,12279,3227,4128,2957,52606,12163,13664,3535,3458,1720,5464
United States,2017,11,230891,210862,3348,49456,7061,10006,3905,12171,3378,4263,2854,53015,12301,13773,3408,3724,1647,5491
United States,2018,11,233375,213904,3197,49827,7152,10391,3614,12258,3426,4295,2885,54389,12427,13473,3250,3651,1483,5177
United States,2019,11,239028,218156,3176,49697,7332,10632,3520,12196,3766,4427,2885,54979,12955,14701,3274,3597,1625,6176
United States,2014,12,243390,225948,3798,51105,7163,10182,6442,14242,3482,4543,3409,57992,12630,11971,3095,3394,1411,4002
United States,2015,12,233735,215657,3517,50462,6860,10112,4449,13193,3353,4365,3211,55220,12260,12389,3245,3469,1568,4246
United States,2016,12,249207,228888,3714,51428,7446,11277,4981,14176,3620,4472,3465,58572,13320,14363,3330,3397,1609,5829
United States,2017,12,258657,237819,3859,52001,7983,11751,6058,15000,3816,4730,3317,60902,13740,14728,3391,3629,1580,5799
United States,2018,12,249280,229184,3620,51622,7663,10950,4489,13909,3899,4647,3104,58613,13111,13851,3181,3713,1556,5551
United States,2019,12,255975,234438,3584,50878,8092,11511,4776,14309,4020,4678,3273,59663,13683,15139,3228,3702,1715,6299
