Date,Open,High,Low,Close,Adj Close,Volume
2021-06-14,145.566666,147.263336,144.713333,147.263336,136.313156,3673800
2021-06-15,146.869995,147.766663,145.576660,146.056671,135.196198,2388300
2021-06-16,146.509995,146.933334,143.533340,144.683334,133.925003,3614700
2021-06-17,144.286667,147.313339,144.176666,146.243332,135.368973,3873000
2021-06-18,145.240005,145.346664,141.956665,142.743332,132.129211,2889900
2021-06-21,142.906662,143.520004,141.693329,143.270004,132.616760,2233200
2021-06-22,143.483337,144.360001,142.679993,143.946671,133.243103,1737900
2021-06-23,144.306671,145.360001,144.259995,144.546661,133.798477,1889400
2021-06-24,145.953339,147.393326,145.800003,147.003326,136.072449,1428300
2021-06-25,147.626663,147.863327,146.190002,146.603333,135.702194,1343100
2021-06-28,147.509995,150.726669,147.509995,150.103333,138.941971,2651100
2021-06-29,149.926666,151.500000,149.433334,151.279999,140.031143,1748100
2021-06-30,151.139999,151.696671,150.396667,151.406662,140.148361,1317300
2021-07-01,151.253326,151.253326,148.729996,149.236664,138.139725,2264100
2021-07-02,150.163330,150.509995,148.973328,150.146667,138.982056,1827000
2021-07-06,150.553329,151.039993,147.979996,149.889999,138.744492,2001900
2021-07-07,150.833328,150.846664,146.996674,147.619995,136.643265,1888200
2021-07-08,144.509995,146.419998,143.403336,145.723328,134.887650,2000100
2021-07-09,146.203339,148.376663,145.149994,148.100006,137.087585,1833000
2021-07-12,148.733337,150.000000,148.166672,150.000000,138.846329,3949800
2021-07-13,149.373337,150.046661,148.606674,149.399994,138.290909,2122200
2021-07-14,150.419998,151.696671,148.283340,148.710007,137.652252,2256600
2021-07-15,147.993332,148.313339,144.306671,145.410004,134.597610,2657100
2021-07-16,145.863327,146.600006,141.910004,142.250000,131.672577,2571600
2021-07-19,140.306671,142.339996,139.503326,142.106674,131.539902,4068000
2021-07-20,142.789993,145.136673,141.000000,144.043335,133.332611,3201000
2021-07-21,144.593338,148.536667,144.593338,148.466660,137.427002,2039400
2021-07-22,147.723328,148.399994,146.496674,147.589996,136.615509,1185000
2021-07-23,148.279999,148.490005,146.513336,148.343338,137.312836,1312500
2021-07-26,147.773331,148.720001,147.406662,148.389999,137.356003,1123200
2021-07-27,147.966660,147.966660,142.589996,145.666672,134.835205,2508000
2021-07-28,146.196671,148.669998,145.493332,148.046661,137.038208,2289600
2021-07-29,148.610001,151.529999,148.553329,151.066666,139.833664,2303700
2021-07-30,149.699997,152.613327,149.699997,152.303329,140.978378,2320200
2021-08-02,153.763336,155.166672,152.889999,153.266663,141.870071,2864100
2021-08-03,153.606674,154.433334,151.809998,154.433334,142.949997,1769100
2021-08-04,154.733337,156.756668,154.503326,156.006668,144.406326,1626000
2021-08-05,156.756668,157.126663,155.146667,156.033340,144.431030,1420200
2021-08-06,155.116669,156.036667,154.850006,155.256668,143.712082,1233000
2021-08-09,155.883331,155.973328,154.076660,154.729996,143.224625,1065900
2021-08-10,154.960007,155.226669,151.816666,152.933334,141.561539,2695500
2021-08-11,153.350006,153.563339,150.619995,152.410004,141.077103,1296900
2021-08-12,151.910004,151.910004,149.523331,150.773331,139.562149,1531500
2021-08-13,150.426666,151.743332,150.296661,151.720001,140.438400,1060200
2021-08-16,151.146667,151.546661,149.889999,151.156662,139.916977,1143900
2021-08-17,149.899994,149.899994,146.843338,148.229996,137.207932,1850700
2021-08-18,148.023331,148.929993,146.076660,146.270004,135.393661,1879200
2021-08-19,145.353333,148.276672,144.226669,147.470001,136.504440,2175600
2021-08-20,147.863327,148.839996,146.806671,148.576660,137.528793,1798200
2021-08-23,150.119995,152.963333,150.119995,152.759995,141.401077,2181000
2021-08-24,153.199997,153.666672,152.496674,152.759995,141.401077,1662900
2021-08-25,153.363327,155.059998,153.276672,153.923340,142.477905,2274300
2021-08-26,153.740005,154.666672,152.806671,154.066666,142.610596,2284500
2021-08-27,154.153336,157.193329,153.936661,157.006668,145.331985,2404500
2021-08-30,157.646667,158.843338,156.756668,157.320007,145.622040,2519400
2021-08-31,157.490005,157.699997,154.846664,156.063339,144.458801,2107800
2021-09-01,156.846664,157.003326,155.213333,155.213333,143.671982,1632600
2021-09-02,155.949997,156.273331,155.190002,155.793335,144.208832,1501500
2021-09-03,155.820007,157.570007,155.473328,156.960007,145.288773,1356000
2021-09-07,157.039993,157.046661,155.456665,156.383331,144.754959,1640700
2021-09-08,155.666672,155.826660,153.033340,154.380005,142.900604,3087900
2021-09-09,154.276672,155.839996,154.183334,154.923340,143.403564,3921000
2021-09-10,156.196671,158.526672,156.139999,156.153336,144.542084,2959200
2021-09-13,157.726669,157.976669,155.516663,157.649994,145.927444,2835900
2021-09-14,158.053329,158.853333,156.936661,157.656662,145.933640,2581500
2021-09-15,157.779999,158.566666,156.443329,158.563339,146.772873,3770400
2021-09-16,157.416672,159.396667,156.763336,158.866669,147.053665,1655100
2021-09-17,158.446671,158.446671,155.626663,156.333328,144.708710,2426700
2021-09-20,153.000000,153.593338,150.216660,152.463333,141.126465,3124800
2021-09-21,153.603333,154.059998,151.523331,152.913330,141.543015,2214000
